,Name,Users
8730,bishnupur,27615
8731,churachandpur,23827
8732,kangpokpi,19239
8733,kakching,12888
8734,ukhrul,9372
8735,tamenglong,7960
8736,chandel,6467
8737,795004,45367
8738,795001,18706
8739,795138,14339
8740,795133,13896
8741,795103,12018
8742,795008,10659
8743,795002,10577
8744,795148,10038
8745,795010,9835
8746,795149,9752
8747,imphal west,102833
8748,imphal east,66388
8749,thoubal,31139
8750,bishnupur,29671
8751,churachandpur,25573
8752,kangpokpi,20703
8753,kakching,13816
8754,ukhrul,10142
8755,tamenglong,8580
8756,chandel,6980
8757,795004,48527
8758,795001,19987
8759,795138,15383
8760,795133,14912
8761,795103,12882
8762,795008,11401
8763,795002,11348
8764,795148,10740
8765,795010,10542
8766,795149,10473
8767,imphal west,110506
8768,imphal east,71436
8769,thoubal,33478
8770,bishnupur,31996
8771,churachandpur,27600
8772,kangpokpi,22416
8773,kakching,14924
8774,ukhrul,11045
8775,tamenglong,9326
8776,chandel,7597
8777,795004,52013
8778,795001,21440
8779,795138,16512
8780,795133,16112
8781,795103,13914
8782,795008,12242
8783,795002,12236
8784,795148,11534
8785,795010,11378
8786,795149,11323
8787,imphal west,118056
8788,imphal east,76421
8789,thoubal,35832
8790,bishnupur,34316
8791,churachandpur,29651
8792,kangpokpi,24082
8793,kakching,15985
8794,ukhrul,11949
8795,tamenglong,10063
8796,chandel,8184
8797,795004,55504
8798,795001,22870
8799,795138,17655
8800,795133,17290
8801,795103,14898
8802,795002,13103
8803,795008,13084
8804,795148,12351
8805,795010,12210
8806,795149,12180
8807,imphal west,125131
8808,imphal east,81134
8809,thoubal,38088
8810,bishnupur,36514
8811,churachandpur,31533
8812,kangpokpi,25589
8813,kakching,17014
8814,ukhrul,12728
8815,tamenglong,10719
8816,chandel,8724
8817,795004,58698
8818,795001,24200
8819,795138,18698
8820,795133,18416
8821,795103,15858
8822,795002,13936
8823,795008,13884
8824,795148,13156
8825,795010,12970
8826,795149,12932
8827,imphal west,131901
8828,imphal east,85559
8829,thoubal,40196
8830,bishnupur,38512
8831,churachandpur,33293
8832,kangpokpi,27002
8833,kakching,18011
8834,ukhrul,13435
8835,tamenglong,11310
8836,chandel,9201
8837,795004,61814
8838,795001,25501
8839,795138,19715
8840,795133,19429
8841,795103,16787
8842,795002,14709
8843,795008,14659
8844,795148,13885
8845,795010,13673
8846,795149,13652
8847,imphal west,138892
8848,imphal east,90100
8849,thoubal,42321
8850,bishnupur,40486
8851,churachandpur,35081
8852,kangpokpi,28377
8853,kakching,18979
8854,ukhrul,14002
8855,tamenglong,11830
8856,chandel,9647
8857,795004,65086
8858,795001,26851
8859,795138,20753
8860,795133,20419
8861,795103,17684
8862,795002,15491
8863,795008,15410
8864,795148,14636
8865,795149,14379
8866,795010,14377
8867,imphal west,145422
8868,imphal east,94344
8869,thoubal,44264
8870,bishnupur,42189
8871,churachandpur,36722
8872,kangpokpi,29563
8873,kakching,19797
8874,ukhrul,14415
8875,tamenglong,12297
8876,chandel,9973
8877,795004,68237
8878,795001,28149
8879,795138,21736
8880,795133,21231
8881,795103,18448
8882,795002,16213
8883,795008,16111
8884,795148,15321
8885,795149,15025
8886,795010,15009
8887,imphal west,151777
8888,imphal east,98499
8889,thoubal,46248
8890,bishnupur,44031
8891,churachandpur,38361
8892,kangpokpi,30917
8893,kakching,20700
8894,ukhrul,15024
8895,tamenglong,12843
8896,chandel,10406
8897,795004,71219
8898,795001,29381
8899,795138,22719
8900,795133,22153
8901,795103,19287
8902,795002,16940
8903,795008,16826
8904,795148,16007
8905,795149,15692
8906,795010,15662
8907,imphal west,157911
8908,imphal east,102530
8909,thoubal,48169
8910,bishnupur,46010
8911,churachandpur,40043
8912,kangpokpi,32306
8913,kakching,21613
8914,ukhrul,15758
8915,tamenglong,13463
8916,chandel,10941
8917,795004,73902
8918,795001,30512
8919,795138,23606
8920,795133,23177
8921,795103,20138
8922,795002,17664
8923,795008,17497
8924,795148,16688
8925,795010,16376
8926,795149,16351
8927,imphal west,164350
8928,imphal east,106699
8929,thoubal,50179
8930,bishnupur,47895
8931,churachandpur,41799
8932,kangpokpi,33690
8933,kakching,22516
8934,ukhrul,16460
8935,tamenglong,14077
8936,chandel,11414
8937,795004,76833
8938,795001,31726
8939,795138,24595
8940,795133,24154
8941,795103,20981
8942,795002,18360
8943,795008,18221
8944,795148,17393
8945,795010,17035
8946,795149,17026
8947,east khasi hills,9310
8948,west garo hills,3671
8949,ribhoi,1891
8950,east jaintia hills,1419
8951,west jaintia hills,736
8952,south garo hills,343
8953,south west garo hills,299
8954,west khasi hills,299
8955,north garo hills,254
8956,east garo hills,236
8957,793001,2493
8958,793002,1386
8959,794001,1033
8960,793210,999
